make,model,version,anio_modelo_seminuevo,precio,vehicleid_master
CHEVROLET,ONIX,LS,2018,175332,CHEVROLET_ONIX_LS_2018
ACURA,ADX,A-Spec,2021,308071,ACURA_ADX_A-Spec_2021
FIAT,PULSE,Impetus,2021,432543,FIAT_PULSE_Impetus_2021
FORD,ECOSPORT,S,2022,452973,FORD_ECOSPORT_S_2022
CHEVROLET,MALIBU,LT,2016,213568,CHEVROLET_MALIBU_LT_2016
ACURA,MDX,Type S,2022,276548,ACURA_MDX_Type S_2022
HONDA,CR-V,EX-L,2018,308703,HONDA_CR-V_EX-L_2018
FORD,explorer,Unknown Version,2017,367605,FORD_explorer_Unknown Version_2017
TOYOTA,CAMRY,SE,2017,118876,TOYOTA_CAMRY_SE_2017
FIAT,STRADA,Trekking,2019,415633,FIAT_STRADA_Trekking_2019
ACURA,MDX,Advance,2018,392444,ACURA_MDX_Advance_2018
TOYOTA,COROLLA,XLE,2020,160569,TOYOTA_COROLLA_XLE_2020
HONDA,HR-V,EX,2019,404559,HONDA_HR-V_EX_2019
FORD,MAVERICK,XLT,2021,378131,FORD_MAVERICK_XLT_2021
FORD,explorer,Unknown Version,2016,163018,FORD_explorer_Unknown Version_2016
TOYOTA,CAMRY,SE,2018,321545,TOYOTA_CAMRY_SE_2018
CHEVROLET,ONIX,LS,2016,372440,CHEVROLET_ONIX_LS_2016
CHEVROLET,TRACKER,RS,2019,196074,CHEVROLET_TRACKER_RS_2019
HONDA,CIVIC,EX,2015,360946,HONDA_CIVIC_EX_2015
HONDA,CIVIC,LX,2020,121730,HONDA_CIVIC_LX_2020
FIAT,PULSE,Audace,2016,460363,FIAT_PULSE_Audace_2016
HONDA,HR-V,EX,2021,348796,HONDA_HR-V_EX_2021
HONDA,CR-V,LX,2017,281636,HONDA_CR-V_LX_2017
ACURA,ADX,Advance,2022,498520,ACURA_ADX_Advance_2022
ACURA,INTEGRA,A-Spec,2020,413011,ACURA_INTEGRA_A-Spec_2020
CHEVROLET,TRACKER,LT,2019,385145,CHEVROLET_TRACKER_LT_2019
HONDA,CR-V,Touring,2022,258292,HONDA_CR-V_Touring_2022
FIAT,PULSE,Audace,2018,222950,FIAT_PULSE_Audace_2018
HONDA,CIVIC,LX,2016,354009,HONDA_CIVIC_LX_2016
FORD,MAVERICK,Lariat,2017,462905,FORD_MAVERICK_Lariat_2017
HONDA,CIVIC,EX,2019,239289,HONDA_CIVIC_EX_2019
FIAT,STRADA,Trekking,2018,342307,FIAT_STRADA_Trekking_2018
FORD,ECOSPORT,Titanium,2015,185400,FORD_ECOSPORT_Titanium_2015
HONDA,CIVIC,EX,2021,287652,HONDA_CIVIC_EX_2021
HONDA,CR-V,Touring,2021,146993,HONDA_CR-V_Touring_2021
FORD,MAVERICK,XLT,2017,283310,FORD_MAVERICK_XLT_2017
FORD,MAVERICK,Lariat,2022,600681,FORD_MAVERICK_Lariat_2022
HONDA,CIVIC,LX,2022,351401,HONDA_CIVIC_LX_2022
HONDA,CIVIC,EX,2017,410843,HONDA_CIVIC_EX_2017
FIAT,PULSE,Drive Plus CVT,2015,368949,FIAT_PULSE_Drive Plus CVT_2015
HONDA,CIVIC,Touring,2019,156425,HONDA_CIVIC_Touring_2019
ACURA,MDX,Type S,2019,336581,ACURA_MDX_Type S_2019
HONDA,HR-V,EX,2020,289486,HONDA_HR-V_EX_2020
HONDA,CIVIC,LX,2021,311424,HONDA_CIVIC_LX_2021
FIAT,PULSE,Drive Plus CVT,2018,465886,FIAT_PULSE_Drive Plus CVT_2018
HONDA,HR-V,LX,2018,170544,HONDA_HR-V_LX_2018
FIAT,STRADA,Trekking,2018,102250,FIAT_STRADA_Trekking_2018
CHEVROLET,ONIX,LT,2018,317458,CHEVROLET_ONIX_LT_2018
FORD,explorer,Unknown Version,2015,175608,FORD_explorer_Unknown Version_2015
FORD,explorer,Unknown Version,2022,525391,FORD_explorer_Unknown Version_2022
FORD,MAVERICK,XLT,2021,316991,FORD_MAVERICK_XLT_2021
ACURA,ADX,Advance,2017,614963,ACURA_ADX_Advance_2017
HONDA,CR-V,Touring,2019,477316,HONDA_CR-V_Touring_2019
HONDA,HR-V,EX,2016,608702,HONDA_HR-V_EX_2016
ACURA,INTEGRA,Tech,2021,381026,ACURA_INTEGRA_Tech_2021
TOYOTA,CAMRY,XLE,2019,286503,TOYOTA_CAMRY_XLE_2019
FIAT,STRADA,Trekking,2017,359227,FIAT_STRADA_Trekking_2017
TOYOTA,RAV4,XLE,2018,567138,TOYOTA_RAV4_XLE_2018
HONDA,HR-V,LX,2020,261744,HONDA_HR-V_LX_2020
CHEVROLET,ONIX,LT,2017,378942,CHEVROLET_ONIX_LT_2017
CHEVROLET,MALIBU,Premier,2020,421877,CHEVROLET_MALIBU_Premier_2020
FORD,MAVERICK,Lariat,2019,298351,FORD_MAVERICK_Lariat_2019
TOYOTA,CAMRY,LE,2016,346736,TOYOTA_CAMRY_LE_2016
FORD,explorer,Unknown Version,2017,316692,FORD_explorer_Unknown Version_2017
ACURA,MDX,Type S,2015,383188,ACURA_MDX_Type S_2015
CHEVROLET,TRACKER,LT,2022,282842,CHEVROLET_TRACKER_LT_2022
FIAT,PULSE,Audace,2021,259788,FIAT_PULSE_Audace_2021
FIAT,PULSE,Drive Plus CVT,2022,207680,FIAT_PULSE_Drive Plus CVT_2022
HONDA,HR-V,EX,2021,408052,HONDA_HR-V_EX_2021
FORD,MAVERICK,Lariat,2018,459872,FORD_MAVERICK_Lariat_2018
FORD,ECOSPORT,S,2015,426965,FORD_ECOSPORT_S_2015
CHEVROLET,MALIBU,LT,2022,212616,CHEVROLET_MALIBU_LT_2022
ACURA,INTEGRA,A-Spec,2017,400145,ACURA_INTEGRA_A-Spec_2017
FORD,MAVERICK,Lariat,2015,179470,FORD_MAVERICK_Lariat_2015
ACURA,ADX,A-Spec,2018,148326,ACURA_ADX_A-Spec_2018
FORD,MAVERICK,XLT,2019,200433,FORD_MAVERICK_XLT_2019
TOYOTA,RAV4,Limited,2021,447631,TOYOTA_RAV4_Limited_2021
FIAT,PULSE,Impetus,2018,183721,FIAT_PULSE_Impetus_2018
CHEVROLET,TRACKER,Base,2020,131820,CHEVROLET_TRACKER_Base_2020
TOYOTA,RAV4,Limited,2018,329754,TOYOTA_RAV4_Limited_2018
TOYOTA,CAMRY,SE,2020,256154,TOYOTA_CAMRY_SE_2020
FIAT,STRADA,Working,2018,153757,FIAT_STRADA_Working_2018
CHEVROLET,TRACKER,LT,2021,311440,CHEVROLET_TRACKER_LT_2021
FORD,explorer,Unknown Version,2021,413821,FORD_explorer_Unknown Version_2021
CHEVROLET,MALIBU,Premier,2022,321723,CHEVROLET_MALIBU_Premier_2022
HONDA,CR-V,EX-L,2021,401365,HONDA_CR-V_EX-L_2021
CHEVROLET,ONIX,LTZ,2018,317612,CHEVROLET_ONIX_LTZ_2018
FIAT,STRADA,Trekking,2021,262710,FIAT_STRADA_Trekking_2021
HONDA,CR-V,EX-L,2020,417882,HONDA_CR-V_EX-L_2020
TOYOTA,COROLLA,SE,2016,298840,TOYOTA_COROLLA_SE_2016
TOYOTA,RAV4,LE,2018,216526,TOYOTA_RAV4_LE_2018
HONDA,CR-V,Touring,2016,315941,HONDA_CR-V_Touring_2016
CHEVROLET,ONIX,LS,2015,262034,CHEVROLET_ONIX_LS_2015
FIAT,STRADA,Working,2017,273069,FIAT_STRADA_Working_2017
FORD,MAVERICK,Lariat,2016,148085,FORD_MAVERICK_Lariat_2016
TOYOTA,COROLLA,LE,2022,215802,TOYOTA_COROLLA_LE_2022
CHEVROLET,TRACKER,RS,2022,286495,CHEVROLET_TRACKER_RS_2022
CHEVROLET,MALIBU,Premier,2022,423082,CHEVROLET_MALIBU_Premier_2022
TOYOTA,COROLLA,LE,2016,260400,TOYOTA_COROLLA_LE_2016
ACURA,MDX,Type S,2016,567669,ACURA_MDX_Type S_2016
TOYOTA,CAMRY,XLE,2019,274231,TOYOTA_CAMRY_XLE_2019
FIAT,PULSE,Audace,2018,157313,FIAT_PULSE_Audace_2018
CHEVROLET,TRACKER,LT,2020,380581,CHEVROLET_TRACKER_LT_2020
FIAT,STRADA,Working,2018,496765,FIAT_STRADA_Working_2018
CHEVROLET,TRACKER,RS,2017,386744,CHEVROLET_TRACKER_RS_2017
HONDA,CIVIC,EX,2019,200558,HONDA_CIVIC_EX_2019
TOYOTA,RAV4,Limited,2020,327853,TOYOTA_RAV4_Limited_2020
TOYOTA,CAMRY,XLE,2017,317487,TOYOTA_CAMRY_XLE_2017
HONDA,HR-V,EX,2016,231463,HONDA_HR-V_EX_2016
HONDA,HR-V,LX,2015,342869,HONDA_HR-V_LX_2015
ACURA,INTEGRA,Type S,2017,360481,ACURA_INTEGRA_Type S_2017
TOYOTA,RAV4,Limited,2018,297692,TOYOTA_RAV4_Limited_2018
ACURA,INTEGRA,Type S,2020,266853,ACURA_INTEGRA_Type S_2020
TOYOTA,CAMRY,LE,2020,221127,TOYOTA_CAMRY_LE_2020
TOYOTA,RAV4,Limited,2019,406839,TOYOTA_RAV4_Limited_2019
TOYOTA,CAMRY,LE,2018,193786,TOYOTA_CAMRY_LE_2018
ACURA,MDX,Advance,2019,182200,ACURA_MDX_Advance_2019
FIAT,PULSE,Audace,2017,460018,FIAT_PULSE_Audace_2017
HONDA,CR-V,LX,2018,535139,HONDA_CR-V_LX_2018
FIAT,STRADA,Trekking,2016,252104,FIAT_STRADA_Trekking_2016
TOYOTA,CAMRY,SE,2022,177455,TOYOTA_CAMRY_SE_2022
FORD,MAVERICK,XLT,2019,237160,FORD_MAVERICK_XLT_2019
TOYOTA,RAV4,LE,2015,509009,TOYOTA_RAV4_LE_2015
TOYOTA,RAV4,Limited,2021,172341,TOYOTA_RAV4_Limited_2021
TOYOTA,CAMRY,LE,2017,300713,TOYOTA_CAMRY_LE_2017
FIAT,PULSE,Drive MT,2017,183288,FIAT_PULSE_Drive MT_2017
CHEVROLET,TRACKER,RS,2017,250370,CHEVROLET_TRACKER_RS_2017
CHEVROLET,MALIBU,LT,2018,241234,CHEVROLET_MALIBU_LT_2018
FORD,ECOSPORT,S,2022,174400,FORD_ECOSPORT_S_2022
ACURA,MDX,Type S,2018,414543,ACURA_MDX_Type S_2018
FORD,MAVERICK,XLT,2021,226952,FORD_MAVERICK_XLT_2021
FORD,explorer,Unknown Version,2017,451363,FORD_explorer_Unknown Version_2017
TOYOTA,CAMRY,XLE,2019,271616,TOYOTA_CAMRY_XLE_2019
HONDA,CIVIC,Touring,2019,408486,HONDA_CIVIC_Touring_2019
ACURA,INTEGRA,A-Spec,2018,291846,ACURA_INTEGRA_A-Spec_2018
TOYOTA,RAV4,LE,2020,423015,TOYOTA_RAV4_LE_2020
ACURA,INTEGRA,Tech,2021,480822,ACURA_INTEGRA_Tech_2021
FIAT,PULSE,Drive Plus CVT,2017,394616,FIAT_PULSE_Drive Plus CVT_2017
FORD,explorer,Unknown Version,2015,328997,FORD_explorer_Unknown Version_2015
TOYOTA,RAV4,LE,2015,556747,TOYOTA_RAV4_LE_2015
TOYOTA,CAMRY,LE,2022,435733,TOYOTA_CAMRY_LE_2022
ACURA,MDX,Type S,2020,346670,ACURA_MDX_Type S_2020
HONDA,CIVIC,EX,2020,366604,HONDA_CIVIC_EX_2020
HONDA,CIVIC,Touring,2018,184432,HONDA_CIVIC_Touring_2018
FORD,ECOSPORT,Titanium,2017,536591,FORD_ECOSPORT_Titanium_2017
CHEVROLET,ONIX,LS,2018,316006,CHEVROLET_ONIX_LS_2018
FORD,ECOSPORT,S,2017,392844,FORD_ECOSPORT_S_2017
FORD,MAVERICK,Lariat,2022,518499,FORD_MAVERICK_Lariat_2022
FIAT,PULSE,Audace,2019,383882,FIAT_PULSE_Audace_2019
FIAT,PULSE,Drive MT,2015,449018,FIAT_PULSE_Drive MT_2015
FIAT,PULSE,Drive MT,2017,505176,FIAT_PULSE_Drive MT_2017
FORD,explorer,Unknown Version,2017,207500,FORD_explorer_Unknown Version_2017
TOYOTA,CAMRY,LE,2017,269882,TOYOTA_CAMRY_LE_2017
FORD,explorer,Unknown Version,2017,331980,FORD_explorer_Unknown Version_2017
ACURA,INTEGRA,A-Spec,2019,249989,ACURA_INTEGRA_A-Spec_2019
FORD,explorer,Unknown Version,2021,536002,FORD_explorer_Unknown Version_2021
TOYOTA,COROLLA,XLE,2021,563603,TOYOTA_COROLLA_XLE_2021
CHEVROLET,ONIX,LTZ,2018,412095,CHEVROLET_ONIX_LTZ_2018
CHEVROLET,MALIBU,LT,2016,305996,CHEVROLET_MALIBU_LT_2016
CHEVROLET,ONIX,LT,2015,155829,CHEVROLET_ONIX_LT_2015
FIAT,STRADA,Trekking,2016,196883,FIAT_STRADA_Trekking_2016
FIAT,STRADA,Trekking,2020,314327,FIAT_STRADA_Trekking_2020
CHEVROLET,TRACKER,RS,2022,322193,CHEVROLET_TRACKER_RS_2022
TOYOTA,CAMRY,SE,2015,500270,TOYOTA_CAMRY_SE_2015
FIAT,PULSE,Drive MT,2020,277973,FIAT_PULSE_Drive MT_2020
ACURA,MDX,Advance,2017,336177,ACURA_MDX_Advance_2017
CHEVROLET,ONIX,LT,2021,255194,CHEVROLET_ONIX_LT_2021
HONDA,CR-V,EX-L,2016,434261,HONDA_CR-V_EX-L_2016
HONDA,HR-V,LX,2022,178856,HONDA_HR-V_LX_2022
ACURA,ADX,A-Spec,2022,545369,ACURA_ADX_A-Spec_2022
TOYOTA,COROLLA,LE,2021,142475,TOYOTA_COROLLA_LE_2021
ACURA,ADX,A-Spec,2017,160747,ACURA_ADX_A-Spec_2017
ACURA,INTEGRA,A-Spec,2022,127422,ACURA_INTEGRA_A-Spec_2022
FIAT,PULSE,Audace,2016,425355,FIAT_PULSE_Audace_2016
TOYOTA,CAMRY,LE,2022,242876,TOYOTA_CAMRY_LE_2022
HONDA,CR-V,LX,2021,261405,HONDA_CR-V_LX_2021
FORD,ECOSPORT,Titanium,2019,244755,FORD_ECOSPORT_Titanium_2019
CHEVROLET,MALIBU,LT,2020,324291,CHEVROLET_MALIBU_LT_2020
HONDA,CR-V,Touring,2016,351944,HONDA_CR-V_Touring_2016
FIAT,PULSE,Drive Plus CVT,2017,472824,FIAT_PULSE_Drive Plus CVT_2017
TOYOTA,RAV4,XLE,2015,504790,TOYOTA_RAV4_XLE_2015
FIAT,PULSE,Impetus,2022,346947,FIAT_PULSE_Impetus_2022
CHEVROLET,ONIX,LT,2022,452710,CHEVROLET_ONIX_LT_2022
CHEVROLET,MALIBU,Premier,2021,204674,CHEVROLET_MALIBU_Premier_2021
TOYOTA,RAV4,XLE,2018,550734,TOYOTA_RAV4_XLE_2018
FIAT,STRADA,Working,2020,431123,FIAT_STRADA_Working_2020
FIAT,STRADA,Working,2021,407959,FIAT_STRADA_Working_2021
HONDA,CIVIC,Touring,2016,228716,HONDA_CIVIC_Touring_2016
FORD,MAVERICK,XLT,2019,311756,FORD_MAVERICK_XLT_2019
HONDA,CR-V,LX,2019,392693,HONDA_CR-V_LX_2019
CHEVROLET,TRACKER,RS,2015,321714,CHEVROLET_TRACKER_RS_2015
HONDA,CR-V,Touring,2022,140499,HONDA_CR-V_Touring_2022
FIAT,PULSE,Drive Plus CVT,2020,369243,FIAT_PULSE_Drive Plus CVT_2020
ACURA,INTEGRA,A-Spec,2020,242852,ACURA_INTEGRA_A-Spec_2020
CHEVROLET,ONIX,LS,2020,273360,CHEVROLET_ONIX_LS_2020
ACURA,ADX,Advance,2022,142122,ACURA_ADX_Advance_2022
FIAT,PULSE,Audace,2019,168585,FIAT_PULSE_Audace_2019
CHEVROLET,MALIBU,Premier,2019,171495,CHEVROLET_MALIBU_Premier_2019
HONDA,CR-V,LX,2016,177791,HONDA_CR-V_LX_2016
CHEVROLET,ONIX,LTZ,2018,199608,CHEVROLET_ONIX_LTZ_2018
HONDA,CR-V,LX,2018,425572,HONDA_CR-V_LX_2018
TOYOTA,RAV4,Limited,2015,246594,TOYOTA_RAV4_Limited_2015
TOYOTA,CAMRY,XLE,2016,431564,TOYOTA_CAMRY_XLE_2016
FIAT,PULSE,Drive MT,2017,540365,FIAT_PULSE_Drive MT_2017
CHEVROLET,ONIX,LT,2020,170406,CHEVROLET_ONIX_LT_2020
CHEVROLET,ONIX,LS,2015,531009,CHEVROLET_ONIX_LS_2015
CHEVROLET,ONIX,LS,2019,569967,CHEVROLET_ONIX_LS_2019
TOYOTA,COROLLA,SE,2021,386908,TOYOTA_COROLLA_SE_2021
FIAT,PULSE,Drive MT,2022,497509,FIAT_PULSE_Drive MT_2022
FORD,ECOSPORT,SE,2017,142115,FORD_ECOSPORT_SE_2017
TOYOTA,RAV4,Limited,2017,175127,TOYOTA_RAV4_Limited_2017
FORD,explorer,Unknown Version,2017,245861,FORD_explorer_Unknown Version_2017
CHEVROLET,TRACKER,RS,2018,188840,CHEVROLET_TRACKER_RS_2018
FORD,MAVERICK,Lariat,2015,428816,FORD_MAVERICK_Lariat_2015
FORD,explorer,Unknown Version,2021,426948,FORD_explorer_Unknown Version_2021
TOYOTA,RAV4,LE,2017,393879,TOYOTA_RAV4_LE_2017
TOYOTA,COROLLA,LE,2017,452074,TOYOTA_COROLLA_LE_2017
CHEVROLET,MALIBU,Premier,2015,170575,CHEVROLET_MALIBU_Premier_2015
FIAT,STRADA,Trekking,2019,332879,FIAT_STRADA_Trekking_2019
CHEVROLET,TRACKER,LT,2017,130279,CHEVROLET_TRACKER_LT_2017
FORD,ECOSPORT,SE,2017,337864,FORD_ECOSPORT_SE_2017
FORD,MAVERICK,Lariat,2016,345507,FORD_MAVERICK_Lariat_2016
HONDA,CR-V,LX,2020,216369,HONDA_CR-V_LX_2020
FIAT,STRADA,Trekking,2021,513838,FIAT_STRADA_Trekking_2021
TOYOTA,RAV4,LE,2017,147787,TOYOTA_RAV4_LE_2017
HONDA,CR-V,LX,2015,346242,HONDA_CR-V_LX_2015
FORD,ECOSPORT,SE,2016,222894,FORD_ECOSPORT_SE_2016
FORD,MAVERICK,XLT,2015,530251,FORD_MAVERICK_XLT_2015
TOYOTA,RAV4,XLE,2016,533942,TOYOTA_RAV4_XLE_2016
TOYOTA,RAV4,Limited,2021,388885,TOYOTA_RAV4_Limited_2021
HONDA,CIVIC,Touring,2020,379863,HONDA_CIVIC_Touring_2020
HONDA,CR-V,LX,2019,250842,HONDA_CR-V_LX_2019
FIAT,PULSE,Drive MT,2022,120564,FIAT_PULSE_Drive MT_2022
FIAT,STRADA,Trekking,2019,201333,FIAT_STRADA_Trekking_2019
HONDA,HR-V,EX,2018,172110,HONDA_HR-V_EX_2018
CHEVROLET,TRACKER,Base,2015,198749,CHEVROLET_TRACKER_Base_2015
HONDA,CR-V,LX,2022,215826,HONDA_CR-V_LX_2022
ACURA,ADX,A-Spec,2018,462549,ACURA_ADX_A-Spec_2018
HONDA,CR-V,Touring,2022,423840,HONDA_CR-V_Touring_2022
FIAT,STRADA,Trekking,2020,365617,FIAT_STRADA_Trekking_2020
FORD,MAVERICK,Lariat,2019,188526,FORD_MAVERICK_Lariat_2019
CHEVROLET,ONIX,LS,2017,316313,CHEVROLET_ONIX_LS_2017
FORD,ECOSPORT,SE,2015,341420,FORD_ECOSPORT_SE_2015
FIAT,PULSE,Drive MT,2016,261205,FIAT_PULSE_Drive MT_2016
FORD,explorer,Unknown Version,2017,480932,FORD_explorer_Unknown Version_2017
HONDA,HR-V,Touring,2021,499333,HONDA_HR-V_Touring_2021
CHEVROLET,MALIBU,Premier,2018,202848,CHEVROLET_MALIBU_Premier_2018
FORD,MAVERICK,XLT,2018,325108,FORD_MAVERICK_XLT_2018
CHEVROLET,MALIBU,LT,2017,125370,CHEVROLET_MALIBU_LT_2017
FIAT,STRADA,Working,2018,525433,FIAT_STRADA_Working_2018
TOYOTA,CAMRY,XLE,2021,505251,TOYOTA_CAMRY_XLE_2021
FORD,explorer,Unknown Version,2018,402673,FORD_explorer_Unknown Version_2018
FIAT,PULSE,Drive MT,2015,440737,FIAT_PULSE_Drive MT_2015
CHEVROLET,ONIX,LS,2019,133084,CHEVROLET_ONIX_LS_2019
HONDA,CIVIC,EX,2022,169289,HONDA_CIVIC_EX_2022
ACURA,MDX,Advance,2018,608530,ACURA_MDX_Advance_2018
TOYOTA,RAV4,LE,2020,205963,TOYOTA_RAV4_LE_2020
FORD,ECOSPORT,S,2016,363603,FORD_ECOSPORT_S_2016
HONDA,CR-V,LX,2021,244066,HONDA_CR-V_LX_2021
ACURA,INTEGRA,A-Spec,2018,312275,ACURA_INTEGRA_A-Spec_2018
CHEVROLET,MALIBU,Premier,2015,314523,CHEVROLET_MALIBU_Premier_2015
CHEVROLET,TRACKER,Base,2016,497614,CHEVROLET_TRACKER_Base_2016
HONDA,CR-V,LX,2021,461609,HONDA_CR-V_LX_2021
FORD,ECOSPORT,Titanium,2022,174315,FORD_ECOSPORT_Titanium_2022
ACURA,ADX,Advance,2019,248991,ACURA_ADX_Advance_2019
FIAT,STRADA,Trekking,2020,416558,FIAT_STRADA_Trekking_2020
FIAT,STRADA,Trekking,2019,268489,FIAT_STRADA_Trekking_2019
FORD,ECOSPORT,Titanium,2020,344548,FORD_ECOSPORT_Titanium_2020
FORD,MAVERICK,XLT,2015,447125,FORD_MAVERICK_XLT_2015
HONDA,HR-V,Touring,2021,421148,HONDA_HR-V_Touring_2021
FORD,ECOSPORT,SE,2020,278325,FORD_ECOSPORT_SE_2020
FIAT,PULSE,Drive Plus CVT,2020,270184,FIAT_PULSE_Drive Plus CVT_2020
ACURA,INTEGRA,Tech,2015,606638,ACURA_INTEGRA_Tech_2015
CHEVROLET,MALIBU,Premier,2020,245424,CHEVROLET_MALIBU_Premier_2020
CHEVROLET,TRACKER,LT,2018,466918,CHEVROLET_TRACKER_LT_2018
ACURA,INTEGRA,A-Spec,2015,340274,ACURA_INTEGRA_A-Spec_2015
FORD,explorer,Unknown Version,2022,341256,FORD_explorer_Unknown Version_2022
CHEVROLET,MALIBU,LT,2019,448072,CHEVROLET_MALIBU_LT_2019
FIAT,PULSE,Impetus,2016,434705,FIAT_PULSE_Impetus_2016
FIAT,PULSE,Audace,2020,470438,FIAT_PULSE_Audace_2020
CHEVROLET,MALIBU,LT,2019,228077,CHEVROLET_MALIBU_LT_2019
FIAT,PULSE,Drive MT,2021,326677,FIAT_PULSE_Drive MT_2021
FORD,explorer,Unknown Version,2022,464602,FORD_explorer_Unknown Version_2022
FIAT,PULSE,Drive MT,2022,228821,FIAT_PULSE_Drive MT_2022
FIAT,STRADA,Trekking,2015,228538,FIAT_STRADA_Trekking_2015
FIAT,PULSE,Drive Plus CVT,2022,579314,FIAT_PULSE_Drive Plus CVT_2022
FORD,MAVERICK,Lariat,2020,416688,FORD_MAVERICK_Lariat_2020
FIAT,PULSE,Impetus,2015,389484,FIAT_PULSE_Impetus_2015
CHEVROLET,TRACKER,Base,2022,288033,CHEVROLET_TRACKER_Base_2022
FORD,ECOSPORT,S,2016,233744,FORD_ECOSPORT_S_2016
ACURA,ADX,A-Spec,2018,280017,ACURA_ADX_A-Spec_2018
FIAT,STRADA,Working,2022,374536,FIAT_STRADA_Working_2022
HONDA,CR-V,EX-L,2019,208484,HONDA_CR-V_EX-L_2019
FIAT,STRADA,Working,2021,527175,FIAT_STRADA_Working_2021
ACURA,ADX,Advance,2015,172274,ACURA_ADX_Advance_2015
FIAT,STRADA,Working,2016,270702,FIAT_STRADA_Working_2016
TOYOTA,RAV4,XLE,2015,252585,TOYOTA_RAV4_XLE_2015
CHEVROLET,TRACKER,RS,2021,365713,CHEVROLET_TRACKER_RS_2021
CHEVROLET,MALIBU,LT,2019,298803,CHEVROLET_MALIBU_LT_2019
FORD,explorer,Unknown Version,2015,342688,FORD_explorer_Unknown Version_2015
FIAT,STRADA,Trekking,2020,227324,FIAT_STRADA_Trekking_2020
HONDA,CR-V,EX-L,2019,412215,HONDA_CR-V_EX-L_2019
FORD,ECOSPORT,Titanium,2018,376268,FORD_ECOSPORT_Titanium_2018
HONDA,HR-V,Touring,2022,194634,HONDA_HR-V_Touring_2022
CHEVROLET,ONIX,LT,2018,435051,CHEVROLET_ONIX_LT_2018
CHEVROLET,TRACKER,LT,2021,335162,CHEVROLET_TRACKER_LT_2021
TOYOTA,RAV4,XLE,2017,206073,TOYOTA_RAV4_XLE_2017
HONDA,CR-V,EX-L,2019,462334,HONDA_CR-V_EX-L_2019
FIAT,PULSE,Audace,2019,516870,FIAT_PULSE_Audace_2019
FORD,MAVERICK,Lariat,2015,178996,FORD_MAVERICK_Lariat_2015
ACURA,INTEGRA,Type S,2017,263699,ACURA_INTEGRA_Type S_2017
TOYOTA,CAMRY,LE,2022,287277,TOYOTA_CAMRY_LE_2022
HONDA,CR-V,EX-L,2022,379485,HONDA_CR-V_EX-L_2022
ACURA,ADX,Advance,2022,414419,ACURA_ADX_Advance_2022
FIAT,STRADA,Trekking,2015,109828,FIAT_STRADA_Trekking_2015
CHEVROLET,ONIX,LT,2016,261778,CHEVROLET_ONIX_LT_2016
CHEVROLET,TRACKER,LT,2017,164071,CHEVROLET_TRACKER_LT_2017
TOYOTA,CAMRY,XLE,2017,410476,TOYOTA_CAMRY_XLE_2017
ACURA,INTEGRA,A-Spec,2022,159809,ACURA_INTEGRA_A-Spec_2022
HONDA,CIVIC,Touring,2020,557075,HONDA_CIVIC_Touring_2020
CHEVROLET,TRACKER,LT,2020,382796,CHEVROLET_TRACKER_LT_2020
FIAT,STRADA,Working,2022,169521,FIAT_STRADA_Working_2022
